,category,question_count,right_answers,right_answers_percent,right_answers_percent_(ignore_bad_format),bad_format_answers,bad_format_answers_percent
0,abstract_algebra,100,26,26.0,27.083,4,4.0
1,anatomy,135,74,54.815,57.364,6,4.444
2,astronomy,152,94,61.842,65.734,9,5.921
3,business_ethics,100,58,58.0,58.586,1,1.0
4,clinical_knowledge,265,163,61.509,62.934,6,2.264
5,college_biology,144,97,67.361,69.784,5,3.472
6,college_chemistry,100,38,38.0,46.341,18,18.0
7,college_computer_science,100,48,48.0,53.933,11,11.0
8,college_mathematics,100,33,33.0,37.931,13,13.0
9,college_medicine,173,94,54.335,56.627,7,4.046
10,college_physics,102,37,36.275,38.542,6,5.882
11,computer_security,100,62,62.0,62.0,0,0.0
12,conceptual_physics,235,115,48.936,50.661,8,3.404
13,econometrics,114,49,42.982,44.954,5,4.386
14,electrical_engineering,145,78,53.793,56.522,7,4.828
15,elementary_mathematics,378,137,36.243,37.637,14,3.704
16,formal_logic,126,46,36.508,37.398,3,2.381
17,global_facts,100,33,33.0,33.673,2,2.0
18,high_school_biology,310,217,70.0,72.333,10,3.226
19,high_school_chemistry,203,86,42.365,46.486,18,8.867
20,high_school_computer_science,100,55,55.0,58.511,6,6.0
21,high_school_european_history,165,111,67.273,71.154,9,5.455
22,high_school_geography,198,142,71.717,73.196,4,2.02
23,high_school_government_and_politics,193,156,80.829,81.675,2,1.036
24,high_school_macroeconomics,390,209,53.59,54.569,7,1.795
25,high_school_mathematics,270,73,27.037,33.486,52,19.259
26,high_school_microeconomics,238,148,62.185,63.248,4,1.681
27,high_school_physics,151,52,34.437,36.364,8,5.298
28,high_school_psychology,545,418,76.697,78.571,13,2.385
29,high_school_statistics,216,100,46.296,51.813,23,10.648
30,high_school_us_history,204,150,73.529,76.142,7,3.431
31,high_school_world_history,237,165,69.62,72.368,9,3.797
32,human_aging,223,142,63.677,64.545,3,1.345
33,human_sexuality,131,89,67.939,70.635,5,3.817
34,international_law,121,91,75.207,75.833,1,0.826
35,jurisprudence,108,73,67.593,70.874,5,4.63
36,logical_fallacies,163,116,71.166,73.885,6,3.681
37,machine_learning,112,53,47.321,50.0,6,5.357
38,management,103,66,64.078,65.347,2,1.942
39,marketing,234,197,84.188,85.281,3,1.282
40,medical_genetics,100,70,70.0,71.429,2,2.0
41,miscellaneous,783,572,73.052,78.035,50,6.386
42,moral_disputes,346,234,67.63,68.421,4,1.156
43,moral_scenarios,895,303,33.855,33.855,0,0.0
44,nutrition,306,199,65.033,67.687,12,3.922
45,philosophy,311,207,66.559,66.99,2,0.643
46,prehistory,324,210,64.815,67.524,13,4.012
47,professional_accounting,282,131,46.454,48.519,12,4.255
48,professional_law,1534,655,42.699,43.349,23,1.499
49,professional_medicine,272,151,55.515,58.077,12,4.412
50,professional_psychology,612,370,60.458,61.977,15,2.451
51,public_relations,110,69,62.727,66.346,6,5.455
52,security_studies,245,166,67.755,67.755,0,0.0
53,sociology,201,160,79.602,80.0,1,0.498
54,us_foreign_policy,100,77,77.0,77.0,0,0.0
55,virology,166,78,46.988,49.057,7,4.217
56,world_religions,171,136,79.532,80.473,2,1.17
