,category,question_count,right_answers,right_answers_percent,right_answers_percent_(ignore_bad_format),bad_format_answers,bad_format_answers_percent
0,abstract_algebra,100,29,29.0,32.955,12,12.0
1,anatomy,135,72,53.333,61.538,18,13.333
2,astronomy,152,95,62.5,70.37,17,11.184
3,business_ethics,100,60,60.0,61.856,3,3.0
4,clinical_knowledge,265,163,61.509,69.362,30,11.321
5,college_biology,144,100,69.444,73.529,8,5.556
6,college_chemistry,100,34,34.0,47.222,28,28.0
7,college_computer_science,100,52,52.0,61.176,15,15.0
8,college_mathematics,100,29,29.0,41.429,30,30.0
9,college_medicine,173,97,56.069,61.783,16,9.249
10,college_physics,102,36,35.294,41.86,16,15.686
11,computer_security,100,63,63.0,70.0,10,10.0
12,conceptual_physics,235,122,51.915,56.481,19,8.085
13,econometrics,114,41,35.965,43.617,20,17.544
14,electrical_engineering,145,74,51.034,65.487,32,22.069
15,elementary_mathematics,378,127,33.598,38.138,45,11.905
16,formal_logic,126,48,38.095,41.379,10,7.937
17,global_facts,100,43,43.0,47.253,9,9.0
18,high_school_biology,310,208,67.097,71.233,18,5.806
19,high_school_chemistry,203,83,40.887,50.92,40,19.704
20,high_school_computer_science,100,53,53.0,59.551,11,11.0
21,high_school_european_history,165,114,69.091,72.152,7,4.242
22,high_school_geography,198,139,70.202,74.731,12,6.061
23,high_school_government_and_politics,193,159,82.383,84.574,5,2.591
24,high_school_macroeconomics,390,197,50.513,54.121,26,6.667
25,high_school_mathematics,270,56,20.741,32.941,100,37.037
26,high_school_microeconomics,238,152,63.866,66.087,8,3.361
27,high_school_physics,151,53,35.099,40.458,20,13.245
28,high_school_psychology,545,410,75.229,79.151,27,4.954
29,high_school_statistics,216,93,43.056,50.0,30,13.889
30,high_school_us_history,204,158,77.451,79.397,5,2.451
31,high_school_world_history,237,172,72.574,76.444,12,5.063
32,human_aging,223,132,59.193,63.768,16,7.175
33,human_sexuality,131,79,60.305,68.103,15,11.45
34,international_law,121,80,66.116,72.727,11,9.091
35,jurisprudence,108,76,70.37,80.851,14,12.963
36,logical_fallacies,163,104,63.804,70.27,15,9.202
37,machine_learning,112,45,40.179,44.554,11,9.821
38,management,103,60,58.252,68.182,15,14.563
39,marketing,234,182,77.778,82.353,13,5.556
40,medical_genetics,100,64,64.0,75.294,15,15.0
41,miscellaneous,783,565,72.158,83.704,108,13.793
42,moral_disputes,346,222,64.162,68.519,22,6.358
43,moral_scenarios,895,343,38.324,38.324,0,0.0
44,nutrition,306,202,66.013,71.127,22,7.19
45,philosophy,311,214,68.81,70.861,9,2.894
46,prehistory,324,211,65.123,70.1,23,7.099
47,professional_accounting,282,129,45.745,49.807,23,8.156
48,professional_law,1534,667,43.481,44.231,26,1.695
49,professional_medicine,272,168,61.765,64.368,11,4.044
50,professional_psychology,612,355,58.007,62.61,45,7.353
51,public_relations,110,71,64.545,71.0,10,9.091
52,security_studies,245,159,64.898,67.66,10,4.082
53,sociology,201,143,71.144,79.444,21,10.448
54,us_foreign_policy,100,75,75.0,81.522,8,8.0
55,virology,166,71,42.771,47.651,17,10.241
56,world_religions,171,129,75.439,82.166,14,8.187
